order_id,customer_id,order_date,amount,category,status
101,1,2026-03-01,1500,Электроника,paid
102,2,2026-03-02,700,Книги,paid
103,1,2026-03-03,2300,Бытовая техника,paid
104,3,2026-03-04,1200,Книги,paid
105,4,2026-03-05,3200,Электроника,paid
106,5,2026-03-05,5400,ПО и сервисы,paid
107,6,2026-03-06,950,Книги,cancelled
108,2,2026-03-07,1800,Электроника,paid
109,7,2026-03-08,2600,Бытовая техника,paid
110,8,2026-03-09,4100,ПО и сервисы,paid
111,3,2026-03-10,2900,Электроника,paid
112,4,2026-03-11,800,Книги,paid
113,6,2026-03-12,3500,Бытовая техника,paid
114,7,2026-03-13,1250,Книги,paid
115,1,2026-03-14,1990,ПО и сервисы,paid
